114	Veio a este mundo o Senhor Jesus	DEUS-FILHO, MINISTÉRIO
116	Um dia	DEUS-FILHO, MINISTÉRIO
117	Homem de tristeza e dor	DEUS-FILHO, MINISTÉRIO
118	São de Jesus as histórias	DEUS-FILHO, MINISTÉRIO
120	Jesus desceu, a Bíblia o diz	DEUS-FILHO, MINISTÉRIO
121	Jesus o lar do céu deixou	DEUS-FILHO, ENTRADA TRIUNFAL
123	A ti, hosana e glória	DEUS-FILHO, ENTRADA TRIUNFAL
124	Morri na cruz por ti	DEUS-FILHO, PAIXÃO E MORTE
125	Oh, quanto, quanto nos amou!	DEUS-FILHO, PAIXÃO E MORTE
127	Ao contemplar a rude cruz	DEUS-FILHO, PAIXÃO E MORTE
128	Digno é o Cordeiro	DEUS-FILHO, PAIXÃO E MORTE
130	Oh, fronte ensangüentada!	DEUS-FILHO, PAIXÃO E MORTE
132	Rude cruz	DEUS-FILHO, PAIXÃO E MORTE
134	Bem junto à cruz de Cristo	DEUS-FILHO, PAIXÃO E MORTE
135	Cristo já ressuscitou	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
136	Adoro o Cristo vivo	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
137	Porque vivo está	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
138	Vinde, vós, fiéis, cantar	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
140	Da sepultura saiu	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
142	Findou-se a luta de Jesus	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
144	Findou-se a luta de Jesus	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
145	Hoje nos lembramos da ressurreição	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
146	Sei que vive o Redentor	DEUS-FILHO, RESSURREIÇÃO E ASCENSÃO
148	Jesus virá	DEUS-FILHO, SEGUNDA VINDA
150	Será de manhã?	DEUS-FILHO, SEGUNDA VINDA
152	O sertanejo, quando espera pela chuva	DEUS-FILHO, SEGUNDA VINDA
153	Já refulge a glória eterna de Jesus	DEUS-FILHO, SEGUNDA VINDA
155	Afirmou o Senhor que virá outra vez	DEUS-FILHO, SEGUNDA VINDA
157	Quando Deus fizer chamada	DEUS-FILHO, SEGUNDA VINDA
160	Um bom amigo e fiel achei	DEUS-FILHO, AMIGO
162	Cristo, amigo das crianças	DEUS-FILHO, AMIGO
163	Todo coração procura	DEUS-FILHO, AMIGO
165	Em Jesus amigo temos	DEUS-FILHO, AMIGO
166	Senhor, é admirável o teu divino amor	DEUS-FILHO, AMOR
167	O teu amor, Jesus	DEUS-FILHO, AMOR
168	Quanto nos ama Jesus!	DEUS-FILHO, AMOR
169	Buscou-me com ternura	DEUS-FILHO, AMOR
170	Maravilhoso amor	DEUS-FILHO, AMOR
171	Amor, que por amor desceste!	DEUS-FILHO, AMOR
173	Cristo tem amor por mim	DEUS-FILHO, AMOR
174	Nome bom, doce à fé	DEUS-FILHO, NOME
175	Jesus, teu nome é santo	DEUS-FILHO, NOME
177	Nome que inspira o meu louvor	DEUS-FILHO, NOME
179	Jesus é o nome do Cristo de Deus	DEUS-FILHO, NOME
180	Jesus, teu nome satisfaz	DEUS-FILHO, NOME
181	Jesus me guia	DEUS-FILHO, PASTOR E GUIA
182	Dia a dia	DEUS-FILHO, PASTOR E GUIA
183	Cada momento	DEUS-FILHO, PASTOR E GUIA
185	Meu bom Pastor	DEUS-FILHO, PASTOR E GUIA
187	O meu pastor é o bom Jesus	DEUS-FILHO, PASTOR E GUIA
188	Glória ao Redentor	DEUS-FILHO, REDENTOR
189	Oh, que sangue tão precioso!	DEUS-FILHO, REDENTOR
190	Por meus pecados padeceu	DEUS-FILHO, REDENTOR
191	Cantarei a linda história	DEUS-FILHO, REDENTOR
193	Maravilhosa graça!	DEUS-FILHO, REDENTOR
194	O Rei da glória, o Rei dos reis	DEUS-FILHO, REI
195	Oh, venham coroar!	DEUS-FILHO, REI
196	Oh, momento glorioso!	DEUS-FILHO, REI
197	Cristo Jesus com poder reinará	DEUS-FILHO, REI
198	Cristo é meu Rei	DEUS-FILHO, REI
199	A Jesus, o Rei da glória	DEUS-FILHO, REI
200	Cristo é tudo para mim	DEUS-FILHO, SENHOR
202	Ele é meu e teu Senhor	DEUS-FILHO, SENHOR
203	Cristo é meu Senhor	DEUS-FILHO, SENHOR
205	Ele é o meu Senhor	DEUS-FILHO, SENHOR
206	Santo Espírito divino	DEUS-ESPÍRITO SANTO
207	Ó bom Consolador	DEUS-ESPÍRITO SANTO
208	Eu não posso fugir do teu Espírito	DEUS-ESPÍRITO SANTO
209	Oh, vem fazer, fiel Consolador!	DEUS-ESPÍRITO SANTO
210	Eu os guiarei ao lar	DEUS-ESPÍRITO SANTO
212	Ó Senhor, vem me dirigir!	DEUS-ESPÍRITO SANTO
213	Oh, vive em mim, Consolador!	DEUS-ESPÍRITO SANTO
214	É divina, sábia e pura	A PALAVRA DE DEUS
215	Livro santo	A PALAVRA DE DEUS
216	Eu quero o pão do céu	A PALAVRA DE DEUS
217	É a Bíblia nossa luz	A PALAVRA DE DEUS
219	Deus nos deu mensagem santa	A PALAVRA DE DEUS
220	Teu santo livro	A PALAVRA DE DEUS
222	Deus está presente	CULTO, CONVITE À ADORAÇÃO
223	Alegres, adorai	CULTO, CONVITE À ADORAÇÃO
224	Vós, criaturas de Deus Pai	CULTO, CONVITE À ADORAÇÃO
226	Este é o dia do Senhor	CULTO, CONVITE À ADORAÇÃO
227	Louve, meu ser, ao grandioso Senhor	CULTO, CONVITE À ADORAÇÃO
228	A Deus demos glória	CULTO, CONVITE À ADORAÇÃO
229	Louvem, com alegre som	CULTO, CONVITE À ADORAÇÃO
230	Louvai com todo o ardor	CULTO, CONVITE À ADORAÇÃO
233	Adorem o Rei	CULTO, CONVITE À ADORAÇÃO
234	Pai celeste, Deus bendito	CULTO, CONVITE À ADORAÇÃO
235	Vinde, cristãos, cantai	CULTO, CONVITE À ADORAÇÃO
236	Sim, com certeza meu Senhor aqui está	CULTO, RESPONSOS E DOXOLOGIAS
238	A Deus, o Pai e Benfeitor	CULTO, RESPONSOS E DOXOLOGIAS
239	Santo és tu, Senhor	CULTO, RESPONSOS E DOXOLOGIAS
240	Cristo, nós te adoramos	CULTO, RESPONSOS E DOXOLOGIAS
241	Aceita, agora, Senhor, meu Deus	CULTO, DEDICAÇÃO DE BENS
243	Ó Deus, venho te agradecer	CULTO, DEDICAÇÃO DE BENS
244	Oh, trazei à casa do tesouro!	CULTO, DEDICAÇÃO DE BENS
246	Santuários nós somos	CULTO, DEDICAÇÃO DE BENS
247	Vem nos ensinar, Senhor	CULTO, DEDICAÇÃO DE BENS
248	Ao findar o labor desta vida	CULTO, CONVITE À SALVAÇÃO
250	Vinde, aflitos pecadores	CULTO, CONVITE À SALVAÇÃO
251	Salvação Jesus me dá	CULTO, CONVITE À SALVAÇÃO
252	Amigo, não saia sem Cristo	CULTO, CONVITE À SALVAÇÃO
254	Cristo, só Cristo!	CULTO, CONVITE À SALVAÇÃO
255	Triste estás, cansado e aflito?	CULTO, CONVITE À SALVAÇÃO
256	Jesus quer entrar hoje em teu coração	CULTO, CONVITE À SALVAÇÃO
257	Venha, ó sofredor, venha agora	CULTO, CONVITE À SALVAÇÃO
259	Escuto a voz do bom Jesus	CULTO, CONVITE À SALVAÇÃO
260	Anda com Jesus!	CULTO, CONVITE À SALVAÇÃO
262	Deixa o Salvador te ajudar	CULTO, CONVITE À SALVAÇÃO
264	Oh, olhai, pois, e vivei!	CULTO, CONVITE À SALVAÇÃO
265	Terás vida em olhar pra Jesus	CULTO, CONVITE À SALVAÇÃO
266	Uma bênção antiga	CULTO, DESPEDIDA
268	O Senhor te abençoe e te guarde	CULTO, DESPEDIDA
269	Finda-se este dia	CULTO, DESPEDIDA
270	Finda-se este culto	CULTO, DESPEDIDA
271	Findo o culto	CULTO, DESPEDIDA
274	Com a paz vem despedir-nos	CULTO, DESPEDIDA
275	Perdoa-me, Senhor	VIDA CRISTÃ, ARREPENDIMENTO E CONFISSÃO
277	Estou aqui, Jesus	VIDA CRISTÃ, ARREPENDIMENTO E CONFISSÃO
279	Sonda-me, ó Deus	VIDA CRISTÃ, ARREPENDIMENTO E CONFISSÃO
280	Se sofrimentos eu causei, Senhor	VIDA CRISTÃ, ARREPENDIMENTO E CONFISSÃO
282	Tem misericórdia de mim, Senhor	VIDA CRISTÃ, ARREPENDIMENTO E CONFISSÃO
283	Eu creio, Senhor, na divina promessa	VIDA CRISTÃ, ARREPENDIMENTO E CONFISSÃO
285	Em Cristo há perfeito perdão	VIDA CRISTÃ, PERDÃO
286	Alvos mais que a neve	VIDA CRISTÃ, PERDÃO
288	Vem, Senhor, do bem a fonte	VIDA CRISTÃ, PERDÃO
290	Alegra o triste coração	VIDA CRISTÃ, PERDÃO
291	Graça de Deus, infinito amor	VIDA CRISTÃ, SALVAÇÃO
293	Foi na cruz	VIDA CRISTÃ, SALVAÇÃO
295	Para o céu por Jesus irei	VIDA CRISTÃ, SALVAÇÃO
296	Eis a nova	VIDA CRISTÃ, SALVAÇÃO
297	Feliz o dia	VIDA CRISTÃ, SALVAÇÃO
299	As novas do evangelho	VIDA CRISTÃ, SALVAÇÃO
300	Tal qual estou	VIDA CRISTÃ, SALVAÇÃO
301	Remido	VIDA CRISTÃ, SALVAÇÃO
303	Maravilhoso Cristo	VIDA CRISTÃ, SALVAÇÃO
304	Jesus, levaste a minha cruz	VIDA CRISTÃ, SALVAÇÃO
305	Rocha eterna	VIDA CRISTÃ, SALVAÇÃO
307	Rocha eterna	VIDA CRISTÃ, SALVAÇÃO
308	Livre em Cristo	VIDA CRISTÃ, SALVAÇÃO
310	Quem salva é só Jesus	VIDA CRISTÃ, SALVAÇÃO
311	Deus enviou Jesus	VIDA CRISTÃ, SALVAÇÃO
312	Seu maravilhoso olhar	VIDA CRISTÃ, SALVAÇÃO
314	Preciosa a graça de Jesus	VIDA CRISTÃ, SALVAÇÃO
315	És minha alegria	VIDA CRISTÃ, ALEGRIA CRISTÃ
316	Só em pensar em ti, Jesus	VIDA CRISTÃ, ALEGRIA CRISTÃ
318	Que alegria é crer em Cristo	VIDA CRISTÃ, ALEGRIA CRISTÃ
319	Agora estou contente	VIDA CRISTÃ, ALEGRIA CRISTÃ
321	Cristo é nossa esperança	VIDA CRISTÃ, ALEGRIA CRISTÃ
323	Eu alegre vou na sua luz	VIDA CRISTÃ, ALEGRIA CRISTÃ
324	Pelo vale escuro	VIDA CRISTÃ, PAZ
326	Jesus, em ti eu tenho paz	VIDA CRISTÃ, PAZ
327	Se teu coração estiver em paz	VIDA CRISTÃ, PAZ
329	Sou feliz com Jesus	VIDA CRISTÃ, PAZ
330	Descansando no poder de Deus	VIDA CRISTÃ, PAZ
331	Como um rio calmo	VIDA CRISTÃ, PAZ
333	Haja paz na terra	VIDA CRISTÃ, PAZ
334	Meu divino protetor	VIDA CRISTÃ, FÉ E CONFIANÇA
335	De teu cuidado terno	VIDA CRISTÃ, FÉ E CONFIANÇA
336	Meu coração descansa em Deus	VIDA CRISTÃ, FÉ E CONFIANÇA
337	Chuvas de bênçãos	VIDA CRISTÃ, FÉ E CONFIANÇA
338	Nossa fé Jesus contemplará	VIDA CRISTÃ, FÉ E CONFIANÇA
339	Almejo a fé que forte é	VIDA CRISTÃ, FÉ E CONFIANÇA
340	Salvador bendito	VIDA CRISTÃ, FÉ E CONFIANÇA
342	Se queres forças na fraqueza	VIDA CRISTÃ, FÉ E CONFIANÇA
343	Se queres forças na fraqueza	VIDA CRISTÃ, FÉ E CONFIANÇA
344	Firme nas promessas	VIDA CRISTÃ, FÉ E CONFIANÇA
345	Firme nas promessas	VIDA CRISTÃ, FÉ E CONFIANÇA
346	Oh, não consintas tristezas!	VIDA CRISTÃ, FÉ E CONFIANÇA
347	Quero o Salvador comigo	VIDA CRISTÃ, FÉ E CONFIANÇA
348	A minha fé e o meu amor	VIDA CRISTÃ, FÉ E CONFIANÇA
349	Meu Deus proverá	VIDA CRISTÃ, FÉ E CONFIANÇA
350	A Jesus Cristo contarei tudo	VIDA CRISTÃ, FÉ E CONFIANÇA
351	Cristo, esperança viva	VIDA CRISTÃ, FÉ E CONFIANÇA
352	Cristo te estende sua forte mão	VIDA CRISTÃ, FÉ E CONFIANÇA
353	Aos pés de Deus	VIDA CRISTÃ, FÉ E CONFIANÇA
355	Aflito? Por que aflito?	VIDA CRISTÃ, FÉ E CONFIANÇA
356	Meu Senhor de tudo sabe	VIDA CRISTÃ, FÉ E CONFIANÇA
357	O segredo do viver	VIDA CRISTÃ, FÉ E CONFIANÇA
358	Ó Cristo, pão da vida	VIDA CRISTÃ, FÉ E CONFIANÇA
360	Espero em ti, Senhor	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
361	Meu Senhor, sou teu	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
362	Desejo a santidade	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
363	Sê minha vida, ó Deus de poder	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
364	Mais de Cristo	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
366	Em mim vem habitar	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
367	Com alegria venho, ó Deus	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
369	Cristo, bom Mestre, eis meu querer	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
370	Vem, Salvador, agora, transformar	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
371	Mais puro quero ser	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
372	Quero ser como Cristo	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
373	Junto a ti	VIDA CRISTÃ, ASPIRAÇÃO CRISTÃ
374	Ao orarmos, Senhor	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
375	Ouve-nos, Pastor divino	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
377	Com tua mão segura bem a minha	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
378	Bendita a hora de oração	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
379	Dirijo a ti, Jesus, minha oração	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
380	Com a minha voz clamo ao Senhor	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
381	Bendita é sempre a hora da prece	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
382	Senhor, se em meu caminho	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
383	Ó Deus eterno, vem me conceder	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
384	Nosso Pai que estás no céu	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
386	Bem de manhã	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
387	O meu clamor, ó Deus, atende	VIDA CRISTÃ, ORAÇÃO E SÚPLICA
388	Santifica tua Igreja	VIDA CRISTÃ, SANTIFICAÇÃO
390	Filhos da luz	VIDA CRISTÃ, SANTIFICAÇÃO
392	Aviva-nos, Senhor!	VIDA CRISTÃ, SANTIFICAÇÃO
393	Em comunhão com Deus	VIDA CRISTÃ, COMUNHÃO COM DEUS
394	Contigo, ó Mestre, quero andar	VIDA CRISTÃ, COMUNHÃO COM DEUS
395	Quero estar ao pé da cruz	VIDA CRISTÃ, COMUNHÃO COM DEUS
396	Busco o Senhor	VIDA CRISTÃ, COMUNHÃO COM DEUS
399	Mais perto quero estar	VIDA CRISTÃ, COMUNHÃO COM DEUS
400	Quão preciosas são as horas	VIDA CRISTÃ, COMUNHÃO COM DEUS
401	Logo de manhã	VIDA CRISTÃ, COMUNHÃO COM DEUS
402	Fica ao meu lado, ó Deus	VIDA CRISTÃ, COMUNHÃO COM DEUS
404	Eu andei a sós com Cristo	VIDA CRISTÃ, COMUNHÃO COM DEUS
406	Castelo forte é nosso Deus	VIDA CRISTÃ, SEGURANÇA
407	Bem-aventurado é aquele	VIDA CRISTÃ, SEGURANÇA
408	Mestre, o mar se revolta	VIDA CRISTÃ, SEGURANÇA
409	Sei que Jesus vai por onde eu andar	VIDA CRISTÃ, SEGURANÇA
411	Minha esperança, Jesus, asseguras	VIDA CRISTÃ, SEGURANÇA
412	Deus é nosso Pai amado	VIDA CRISTÃ, SEGURANÇA
413	Ouvi o Salvador dizer	VIDA CRISTÃ, SEGURANÇA
416	Nossa morada na Rocha está	VIDA CRISTÃ, SEGURANÇA
417	Que segurança! Sou de Jesus!	VIDA CRISTÃ, SEGURANÇA
419	Graças dou por minha vida	VIDA CRISTÃ, GRATIDÃO
420	De manhã, deixando o leito	VIDA CRISTÃ, GRATIDÃO
422	Como agradecer a Jesus?	VIDA CRISTÃ, GRATIDÃO
423	Agradeço a ti, Senhor	VIDA CRISTÃ, GRATIDÃO
424	Saudamo-vos, irmãos, em Cristo	VIDA CRISTÃ, GRATIDÃO
426	Graças te rendemos	VIDA CRISTÃ, GRATIDÃO
427	Pelo lar que tu nos deste	VIDA CRISTÃ, GRATIDÃO
429	A ti seja consagrada minha vida	VIDA CRISTÃ, CONSAGRAÇÃO
430	O que darei a Cristo?	VIDA CRISTÃ, CONSAGRAÇÃO
431	Eu resolvi seguir-te	VIDA CRISTÃ, CONSAGRAÇÃO
433	Usa, Senhor	VIDA CRISTÃ, CONSAGRAÇÃO
434	Teu santo amor, Jesus	VIDA CRISTÃ, CONSAGRAÇÃO
435	Não sou meu	VIDA CRISTÃ, CONSAGRAÇÃO
436	Queremos te conhecer mais e mais	VIDA CRISTÃ, CONSAGRAÇÃO
437	Eu canto a ti minha oração	VIDA CRISTÃ, CONSAGRAÇÃO
438	Quero ser um vaso de bênção	VIDA CRISTÃ, CONSAGRAÇÃO
439	Toma, Senhor, minha mente	VIDA CRISTÃ, CONSAGRAÇÃO
440	Venho a ti, Senhor	VIDA CRISTÃ, CONSAGRAÇÃO
442	Perto, mais perto	VIDA CRISTÃ, CONSAGRAÇÃO
443	O que fez por mim	VIDA CRISTÃ, TESTEMUNHO
444	Conta as bênçãos	VIDA CRISTÃ, TESTEMUNHO
446	Brilho celeste	VIDA CRISTÃ, TESTEMUNHO
447	Mas eu sei em quem tenho crido	VIDA CRISTÃ, TESTEMUNHO
448	Que mudança admirável	VIDA CRISTÃ, TESTEMUNHO
450	Triste e sombrio foi meu viver	VIDA CRISTÃ, TESTEMUNHO
451	Como é triste andar em trevas	VIDA CRISTÃ, TESTEMUNHO
452	Cristo satisfaz minha alma	VIDA CRISTÃ, TESTEMUNHO
454	Eu sou de Jesus	VIDA CRISTÃ, TESTEMUNHO
456	Precioso é Jesus para mim	VIDA CRISTÃ, TESTEMUNHO
458	Por sua graça e compaixão	VIDA CRISTÃ, TESTEMUNHO
459	Quem meu coração encanta	VIDA CRISTÃ, TESTEMUNHO
460	Cristo em minha vida	VIDA CRISTÃ, TESTEMUNHO
462	Cristo me amou e me livrou	VIDA CRISTÃ, TESTEMUNHO
463	O meu coração sofredor	VIDA CRISTÃ, TESTEMUNHO
465	Crer e observar	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
466	Cedo ou tarde	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
467	Por onde me conduzir	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
468	Onde quer que seja	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
469	Sempre seguirei a Cristo	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
471	Cristo chama	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
472	Tua vontade faze, ó Senhor!	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
473	Segundo a vontade de Deus	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
475	Vem me ensinar, Senhor	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
476	Seguireis?, pergunta o Mestre	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
478	Tua voz escuto a convocar-me	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
480	Seguir a Cristo não é sacrifício	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
482	Eu quero fazer o que queres, Senhor	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
484	Onde quer que for, irei	VIDA CRISTÃ, OBEDIÊNCIA E SUBMISSÃO
486	O Mestre nos chama	VIDA CRISTÃ, SERVIÇO CRISTÃO
488	Brilha no meio do teu viver	VIDA CRISTÃ, SERVIÇO CRISTÃO
490	Deus nos chama a ser seu povo	VIDA CRISTÃ, SERVIÇO CRISTÃO
491	No serviço do meu Rei	VIDA CRISTÃ, SERVIÇO CRISTÃO
492	Mãos ao trabalho	VIDA CRISTÃ, SERVIÇO CRISTÃO
493	Os seus intentos cumpre Deus	VIDA CRISTÃ, SERVIÇO CRISTÃO
494	Os seus intentos cumpre Deus	VIDA CRISTÃ, SERVIÇO CRISTÃO
496	Barnabé, homem de Deus	VIDA CRISTÃ, SERVIÇO CRISTÃO
497	Cristo amado	VIDA CRISTÃ, VITÓRIA
499	Ouvi contar a história de Jesus	VIDA CRISTÃ, VITÓRIA
500	Se Deus é por nós	VIDA CRISTÃ, VITÓRIA
